AACN Clinical Issues	AACN Clin. Issues	AACN Clin Issues	
Archivio Putti di Chirurgia Degli Organi di Movimento	Arch. Putti Chir. Organi Mov.	Arch Putti Chir Organi Mov	
Archivio Stomatologico	Arch. Stomatol. (Napoli).	Arch Stomatol (Napoli)	
Archivio Veterinario Italiano	Arch. Vet. Ital.	Arch Vet Ital	
Archivo Espanol de Morfologia	Arch. Esp. Morfol.	Arch Esp Morfol	
Archivos Argentinos de Dermatologia	Arch. Argent. Dermatol.	Arch Argent Dermatol	
Archivos Argentinos de Pediatria	Arch. Argent. Pediatr.	Arch Argent Pediatr	
Archivos de Biologia Andina	Arch. Biol. Andina	Arch Biol Andina	Archivos de Biologia &ina
Archivos de Biologia y Medicina Experimentales	Arch. Biol. Med. Exp. (Santiago).	Arch Biol Med Exp (Santiago)	
Archivos de Bronconeumologia	Arch. Bronconeumol.	Arch Bronconeumol	
Archivos de Enfermedades del Corazon y Vasos	Arch. Enferm. Coraz. Vasos	Arch Enferm Coraz Vasos	
Archivos de Farmacologia y Toxicologia	Arch. Farmacol. Toxicol.	Arch Farmacol Toxicol	
Archivos de Histologia Normal y Patologica.	Arch. Histol. Norm. Patol.	Arch Histol Norm Patol	
Archivos de Investigacion Medica	Arch. Invest. Med. (Mex).	Arch Invest Med (Mex)	
Archivos de la Fundacion Roux-Ocefa	Arch. Fund. Roux. Ocefa	Arch Fund Roux Ocefa	
Archivos de Neurobiologia	Arch. Neurobiol. (Madr).	Arch Neurobiol (Madr)	
Archivos de Odonto Estomatologia	Arch. Odonto Estomatol.	Arch Odonto Estomatol	
Archivos de Oftalmologia de Buenos Aires	Arch. Oftalmol. B. Aires	Arch Oftalmol B Aires	
Archivos de Pediatria del Uruguay	Arch. Pediatr. Urug.	Arch Pediatr Urug	
Archivos del Colegio Medico de El Salvador	Arch. Col. Med. El Salv.	Arch Col Med El Salv	
Archivos del Instituto de Biologia Andina	Arch. Inst. Biol. Andina	Arch Inst Biol Andina	Archivos del Instituto de Biologia &ina
Archivos del Instituto de Cardiologia de Mexico	Arch. Inst. Cardiol. Mex.	Arch Inst Cardiol Mex	
Archivos del Instituto de Farmacologia Experimental	Arch. Inst. Farmacol. Exp. (Madr).	Arch Inst Farmacol Exp (Madr)	
Archivos Espanoles de Urologia	Arch. Esp. Urol.	Arch Esp Urol	
Archivos Latinoamericanos de Nutricion	Arch. Latinoam. Nutr.	Arch Latinoam Nutr	
Archivos Medicos Panamenos	Arch. Med. Panamenos	Arch Med Panamenos	
Archivum Chirurgicum Neerlandicum	Arch. Chir. Neerl.	Arch Chir Neerl	
Archivum Histologicum Japonicum. Nippon Soshikigaku Kiroku	Arch. Histol. Jpn.	Arch Histol Jpn	
Archivum Immunologiae et Therapiae Experimentalis	Arch. Immunol. Ther. Exp. (Warsz).	Arch Immunol Ther Exp (Warsz)	
Archivum Veterinarium Polonicum	Arch. Vet. Pol.	Arch Vet Pol	
Archiwum Historii i Filozofii Medycyny	Arch. Hist. Filoz. Med.	Arch Hist Filoz Med	
Archiwum Historii Medycyny	Arch. Hist. Med. (Warsz).	Arch Hist Med (Warsz)	
Arcispedale S. Anna di Ferrara	Arcisp. S. Anna Ferrara	Arcisp S Anna Ferrara	
Arctic Medical Research	Arctic Med. Res.	Arctic Med Res	
Arerugi. Japanese Journal of Allergology	Arerugi.	Arerugi	
Arhiv Za Higijenu Rada i Toksikologiju	Arh. Hig. Rada Toksikol.	Arh Hig Rada Toksikol	
Arizona Dental Journal	Ariz. Dent. J.	Ariz Dent J	
Arizona Medicine	Ariz. Med.	Ariz Med	
Arizona Nurse	Ariz. Nurse	Ariz Nurse	
Ark-Light Newsletter	Ark. Light Newsl.	Ark Light Newsl	
Arkansas Dental Journal	Ark. Dent. J.	Ark Dent J	
Arkansas Dentistry	Ark. Dent.	Ark Dent	
AN; Arkansas Nurse	AN. Ark. Nurse	AN Ark Nurse	
Arkhiv Anatomii, Gistologii i Embriologii	Arkh. Anat. Gistol. Embriol.	Arkh Anat Gistol Embriol	
Arkhiv Patologii	Arkh. Patol.	Arkh Patol	
ARN Journal	ARN J.	ARN J	
Arquivo de Patologia	Arq. Patol.	Arq Patol	
Arquivo; Orgao da Sociedade Brasileira de Implantologia Bucal	Arquivo.	Arquivo	
Arquivos Brasileiros de Cardiologia	Arq. Bras. Cardiol.	Arq Bras Cardiol	
Arquivos Brasileiros de Endocrinologia e Metabologia	Arq. Bras. Endocrinol. Metabol.	Arq Bras Endocrinol Metabol	
Arquivos Brasileiros de Medicina	Arq. Bras. Med.	Arq Bras Med	
Arquivos Brasileiros de Oftalmologia	Arq. Bras. Oftalmol.	Arq Bras Oftalmol	
Arquivos da Faculdade de Higiene e Saude Publica da Universidade de Sao Paulo	Arq. Fac. Hig. Saude Publica Univ. Sao Paulo	Arq Fac Hig Saude Publica Univ Sao Paulo	
Arquivos de Cirurgia Clinica e Experimental	Arq. Cir. Clin. Exp.	Arq Cir Clin Exp	
Arquivos de Gastroenterologia	Arq. Gastroenterol.	Arq Gastroenterol	
Arquivos de Higiene e Saude Publica	Arq. Hig. Saude Publica	Arq Hig Saude Publica	
Arquivos de Neuro-Psiquiatria	Arq. Neuropsiquiatr.	Arq Neuropsiquiatr	
Arquivos do Centro de Estudos, Curso de Odontologia Universidade Federal de Minas Gerais	Arq. Cent. Estud. Curso Odontol. Univ. Fed. Minas Gerais	Arq Cent Estud Curso Odontol Univ Fed Minas Gerais	
Arquivos do Centro de Estudos da Faculdade de Odontologia da U.F.M.G.	Arq. Cent. Estud. Fac. Odontol. UFMG. (Belo. Horiz).	Arq Cent Estud Fac Odontol UFMG (Belo Horiz)	
Arquivos do Instituto Biologico	Arq. Inst. Biol. (Sao. Paulo).	Arq Inst Biol (Sao Paulo)	
Ars Curandi em Odontologia	Ars Curandi Odontol.	Ars Curandi Odontol	
Arteriosclerosis	Arteriosclerosis	Arteriosclerosis	
Arteriosclerosis and Thrombosis	Arterioscler. Thromb.	Arterioscler Thromb	Arteriosclerosis & Thrombosis
Arteriosclerosis, Thrombosis, and Vascular Biology	Arterioscler. Thromb. Vasc. Biol.	Arterioscler Thromb Vasc Biol	Arteriosclerosis, Thrombosis, & Vascular Biology
Artery	Artery	Artery	
Arthritis and Rheumatism	Arthritis Rheum.	Arthritis Rheum	Arthritis & Rheumatism
Arthritis Care and Research	Arthritis Care Res.	Arthritis Care Res	Arthritis Care & Research
Arthroscopy	Arthroscopy	Arthroscopy	
Articulator	Articulator (Columb).	Articulator (Columb)	
Artificial Cells, Blood Substitutes, and Immobilization Biotechnology	Artif. Cells. Blood Substit. Immobil. Biotechnol.	Artif Cells Blood Substit Immobil Biotechnol	Artificial Cells, Blood Substitutes, & Immobilization Biotechnology
Artificial Intelligence in Medicine	Artif. Intell. Med.	Artif Intell Med	
Artificial Life	Artif. Life	Artif Life	
Artificial Limbs	Artif. Limbs	Artif Limbs	
Artificial Organs	Artif. Organs	Artif Organs	
Arukoru Kenkyu-to Yakubutsu Ison = Japanese Journal of Alcohol Studies and Drug Dependence	Arukoru Kenkyuto. Yakubutsu Ison	Arukoru Kenkyuto Yakubutsu Ison	Arukoru Kenkyu-to Yakubutsu Ison = Japanese Journal of Alcohol Studies & Drug Dependence
Arzneimittel-Forschung	Arzneimittelforschung.	Arzneimittelforschung	
Arztliche Forschung	Arztl. Forsch.	Arztl Forsch	
Arztliche Jugendkunde	Arztl. Jugendkd.	Arztl Jugendkd	
ASA Newsletter	ASA Newsl.	ASA Newsl	
ASAIO Journal	ASAIO J.	ASAIO J	
ASAIO Transactions	ASAIO Trans.	ASAIO Trans	
ASDA News	ASDA News	ASDA News	
ASDC Journal of Dentistry for Children	ASDC J. Dent. Child.	ASDC J Dent Child	
Asepsis	Asepsis	Asepsis	
ASHA	ASHA	ASHA	
ASHA Monographs	ASHA Monogr.	ASHA Monogr	
ASHA. Supplement	ASHA. Suppl.	ASHA Suppl	
Asia-Oceania Journal of Obstetrics and Gynaecology	Asia. Oceania J. Obstet. Gynaecol.	Asia Oceania J Obstet Gynaecol	Asia-Oceania Journal of Obstetrics & Gynaecology
Asia-Pacific Journal of Public Health	Asia. Pac. J. Public Health	Asia Pac J Public Health	
Asian Journal of Aesthetic Dentistry	Asian J. Aesthet. Dent.	Asian J Aesthet Dent	
Asian Journal of Infectious Diseases	Asian J. Infect. Dis.	Asian J Infect Dis	
Asian Pacific Journal of Allergy and Immunology	Asian Pac. J. Allergy Immunol.	Asian Pac J Allergy Immunol	Asian Pacific Journal of Allergy & Immunology
ASNA Reporter	ASNA Rep.	ASNA Rep	
Aspen Emphysema Conference	Aspen Emphysema Conf.	Aspen Emphysema Conf	
Aspens Advisor for Nurse Executives	Aspens Advis. Nurse Exec.	Aspens Advis Nurse Exec	
Assertive Nurse	Assertive Nurse	Assertive Nurse	
Assessment	Assessment	Assessment	
Assistive Technology	Assist. Technol.	Assist Technol	
Association and Society Manager	Assoc. Soc. Manager	Assoc Soc Manager	Association & Society Manager
Association Management	Assoc. Manage.	Assoc Manage	
Asthetische Medizin	Asthet. Med. (Berl).	Asthet Med (Berl)	
ASTM Standardization News	ASTM Stand. News	ASTM Stand News	
Atencion Primaria	Aten. Primaria	Aten Primaria	
Ateneo Parmense. Acta Bio-Medica	Ateneo Parmense. Acta Biomed.	Ateneo Parmense Acta Biomed	
Ateneo Parmense. Sezione I. Acta Bio-Medica	Ateneo Parmense. [1].	Ateneo Parmense [1]	
Atherosclerosis	Atherosclerosis	Atherosclerosis	
Atlas de Radiologie Clinique de la Presse Medicale	Atlas Radiol. Clin. Presse Med.	Atlas Radiol Clin Presse Med	
Atlas of the Oral and Maxillofacial Surgery Clinics of North America	Atlas Oral Maxillofac. Surg. Clin. North Am.	Atlas Oral Maxillofac Surg Clin North Am	Atlas of the Oral & Maxillofacial Surgery Clinics of North America
Atmospheric Environment	Atmos. Environ.	Atmos Environ	
Atomic Energy Review	At. Energy Rev.	At Energy Rev	
Atti dell Accademia dei Fisiocritici in Siena	Atti Accad. Fisiocrit. Siena	Atti Accad Fisiocrit Siena	
Atti della Accademia dei Fisiocritici in Siena. Sezione Medico-Fisica	Atti Accad. Fisiocrit. Siena. [Med. Fis].	Atti Accad Fisiocrit Siena [Med Fis]	
Atti della Accademia Medica Lombarda	Atti Accad. Med. Lomb.	Atti Accad Med Lomb	
Atti della Societa Italiana di Cardiologia	Atti Soc. Ital. Cardiol.	Atti Soc Ital Cardiol	
Atti e Memorie della Accademia di Storia dell Arte Sanitaria	Atti Mem. Accad. Stor. Arte Sanit.	Atti Mem Accad Stor Arte Sanit	
Attualita Dentale	Attual. Dent.	Attual Dent	
Attualita di Ostetricia e Ginecologia	Attual. Ostet. Ginecol.	Attual Ostet Ginecol	
AUAA Journal	AUAA J.	AUAA J	
Audiology	Audiology	Audiology	
Audiology and Neuro-Otology	Audiol. Neurootol.	Audiol Neurootol	Audiology & Neuro-Otology
Auris, Nasus, Larynx	Auris. Nasus. Larynx	Auris Nasus Larynx	
Australasian Annals of Medicine	Australas. Ann. Med.	Australas Ann Med	
Australasian Biotechnology	Australas. Biotechnol.	Australas Biotechnol	
Australasian Journal of Dermatology	Australas. J. Dermatol.	Australas J Dermatol	
Australasian Nurses Journal	Australas. Nurses J.	Australas Nurses J	
Australasian Physical and Engineering Sciences in Medicine	Australas. Phys. Eng. Sci. Med.	Australas Phys Eng Sci Med	Australasian Physical & Engineering Sciences in Medicine
Australasian Radiology	Australas. Radiol.	Australas Radiol	
Australian and New Zealand Journal of Medicine	Aust. N. Z. J. Med.	Aust N Z J Med	Australian & New Zealand Journal of Medicine
Australian and New Zealand Journal of Mental Health Nursing	Aust. N. Z. J. Ment. Health Nurs.	Aust N Z J Ment Health Nurs	Australian & New Zealand Journal of Mental Health Nursing
Australian and New Zealand Journal of Obstetrics and Gynaecology	Aust. N. Z. J. Obstet. Gynaecol.	Aust N Z J Obstet Gynaecol	Australian & New Zealand Journal of Obstetrics & Gynaecology
Australian and New Zealand Journal of Obstetrics and Gynaecology. Supplement	Aust. N. Z. J. Obstet. Gynaecol. Suppl.	Aust N Z J Obstet Gynaecol Suppl	Australian & New Zealand Journal of Obstetrics & Gynaecology. Supplement
Australian and New Zealand Journal of Ophthalmology	Aust. N. Z. J. Ophthalmol.	Aust N Z J Ophthalmol	Australian & New Zealand Journal of Ophthalmology
Australian and New Zealand Journal of Psychiatry	Aust. N. Z. J. Psychiatry	Aust N Z J Psychiatry	Australian & New Zealand Journal of Psychiatry
Australian and New Zealand Journal of Public Health	Aust. N. Z. J. Public Health	Aust N Z J Public Health	Australian & New Zealand Journal of Public Health
Australian and New Zealand Journal of Surgery	Aust. N. Z. J. Surg.	Aust N Z J Surg	Australian & New Zealand Journal of Surgery
Australian Clinical Review	Aust. Clin. Rev.	Aust Clin Rev	
Australian Critical Care	Aust. Crit. Care	Aust Crit Care	
Australian Dental Journal	Aust. Dent. J.	Aust Dent J	
Australian Dental Practice	Aust. Dent. Pract.	Aust Dent Pract	
Australian Family Physician	Aust. Fam. Physician	Aust Fam Physician	
Australian Health Review	Aust. Health Rev.	Aust Health Rev	
Australian Hospital	Aust. Hosp.	Aust Hosp	
Australian Journal of Advanced Nursing	Aust. J. Adv. Nurs.	Aust J Adv Nurs	
Australian Journal of Biological Sciences	Aust. J. Biol. Sci.	Aust J Biol Sci	
Australian Journal of Biotechnology	Aust. J. Biotechnol.	Aust J Biotechnol	
Australian Journal of Experimental Biology and Medical Science	Aust. J. Exp. Biol. Med. Sci.	Aust J Exp Biol Med Sci	Australian Journal of Experimental Biology & Medical Science
Australian Journal of Ophthalmology	Aust. J. Ophthalmol.	Aust J Ophthalmol	
Australian Journal of Public Health	Aust. J. Public Health	Aust J Public Health	
Australian Journal of Rural Health	Aust. J. Rural Health	Aust J Rural Health	
Australian Journal of Science and Medicine in Sport	Aust. J. Sci. Med. Sport	Aust J Sci Med Sport	Australian Journal of Science & Medicine in Sport
Australian Journal of Zoology	Aust. J. Zool.	Aust J Zool	
Australian Medical Record Journal	Aust. Med. Rec. J.	Aust Med Rec J	
Australian Nurses Journal	Aust. Nurses J.	Aust Nurses J	
Australian Nursing Journal	Aust. Nurs. J.	Aust Nurs J	
Australian Orthodontic Journal	Aust. Orthod. J.	Aust Orthod J	
Australian Paediatric Journal	Aust. Paediatr. J.	Aust Paediatr J	
Australian Prosthodontic Journal	Aust. Prosthodont. J.	Aust Prosthodont J	
Australian Prosthodontic Society Bulletin	Aust. Prosthodont. Soc. Bull.	Aust Prosthodont Soc Bull	
Australian Society of Prosthodontists Bulletin	Aust. Soc. Prosthodontists Bull.	Aust Soc Prosthodontists Bull	
Australian Veterinary Journal	Aust. Vet. J.	Aust Vet J	
Autoimmunity	Autoimmunity	Autoimmunity	
Auxiliaire	Auxiliaire	Auxiliaire	
Avances En Odontoestomatologia	Av. Odontoestomatol.	Av Odontoestomatol	
Avances En Periodoncia	Av. Periodoncia	Av Periodoncia	
Aviakosmicheskaia i Ekologicheskaia Meditsina	Aviakosm. Ekolog. Med.	Aviakosm Ekolog Med	
Avian Diseases	Avian Dis.	Avian Dis	
Aviation Space and Environmental Medicine	Aviat. Space Environ. Med.	Aviat Space Environ Med	Aviation Space & Environmental Medicine
AWHONN Lifelines	AWHONN Lifelines	AWHONN Lifelines	
AWHONN Voice	AWHONN Voice	AWHONN Voice	
AWHONNS Clinical Issues in Perinatal and Womens Health Nursing	AWHONNS Clin. Issues Perinat. Womens Health Nurs.	AWHONNS Clin Issues Perinat Womens Health Nurs	AWHONNS Clinical Issues in Perinatal & Womens Health Nursing
Axone	Axone	Axone	
Bacteriologia, Virusologia, Parazitologia, Epidemiologia	Bacteriol. Virusol. Parazitol. Epidemiol.	Bacteriol Virusol Parazitol Epidemiol	
Bacteriological Reviews	Bacteriol. Rev.	Bacteriol Rev	
Baillieres Clinical Endocrinology and Metabolism	Baillieres Clin. Endocrinol. Metab.	Baillieres Clin Endocrinol Metab	Baillieres Clinical Endocrinology & Metabolism
Baillieres Clinical Gastroenterology	Baillieres Clin. Gastroenterol.	Baillieres Clin Gastroenterol	
Baillieres Clinical Haematology	Baillieres Clin. Haematol.	Baillieres Clin Haematol	
Baillieres Clinical Neurology	Baillieres Clin. Neurol.	Baillieres Clin Neurol	
Baillieres Clinical Obstetrics and Gynaecology	Baillieres Clin. Obstet. Gynaecol.	Baillieres Clin Obstet Gynaecol	Baillieres Clinical Obstetrics & Gynaecology
Baillieres Clinical Rheumatology	Baillieres Clin. Rheumatol.	Baillieres Clin Rheumatol	
Balance	Balance	Balance	
Bangladesh Medical Research Council Bulletin	Bangladesh Med. Res. Counc. Bull.	Bangladesh Med Res Counc Bull	
Barbados Nursing Journal	Barbados Nurs. J.	Barbados Nurs J	
Barrons	Barrons	Barrons	
Basal Facts	Basal Facts	Basal Facts	
Basic and Applied Histochemistry	Basic Appl. Histochem.	Basic Appl Histochem	Basic & Applied Histochemistry
Basic Life Sciences	Basic Life Sci.	Basic Life Sci	
Basic Research in Cardiology	Basic Res. Cardiol.	Basic Res Cardiol	
Baylor Dental Journal	Baylor Dent. J.	Baylor Dent J	
Baylor Nursing Educator	Baylor Nurs. Educ.	Baylor Nurs Educ	
Bedside Nurse	Bedside Nurse	Bedside Nurse	
Begg Journal of Orthodontic Theory and Treatment	Begg J. Orthod. Theory Treat.	Begg J Orthod Theory Treat	Begg Journal of Orthodontic Theory & Treatment
Beginnings	Beginnings	Beginnings	
Behavior Genetics	Behav. Genet.	Behav Genet	
Behavior Modification	Behav. Modif.	Behav Modif	
Behavioral and Brain Sciences	Behav. Brain Sci.	Behav Brain Sci	Behavioral & Brain Sciences
Behavioral and Neural Biology	Behav. Neural Biol.	Behav Neural Biol	Behavioral & Neural Biology
Behavioral Biology	Behav. Biol.	Behav Biol	
Behavioral Healthcare Tomorrow	Behav. Healthc. Tomorrow	Behav Healthc Tomorrow	
Behavioral Medicine	Behav. Med.	Behav Med	
Behavioral Neuropsychiatry	Behav. Neuropsychiatry	Behav Neuropsychiatry	
Behavioral Neuroscience	Behav. Neurosci.	Behav Neurosci	
Behavioral Science	Behav. Sci.	Behav Sci	
Behavioral Sciences and the Law	Behav. Sci. Law	Behav Sci Law	Behavioral Sciences & the Law
Behaviour	Behaviour	Behaviour	
Behaviour Research and Therapy	Behav. Res. Ther.	Behav Res Ther	Behaviour Research & Therapy
Behavioural Brain Research	Behav. Brain Res.	Behav Brain Res	
Behavioural Pharmacology	Behav. Pharmacol.	Behav Pharmacol	
Behring Institute Mitteilungen	Behring Inst. Mitt.	Behring Inst Mitt	
Beitrage Zu Infusionstherapie und Klinische Ernahrung	Beitr. Infusionther. Klin. Ernahr.	Beitr Infusionther Klin Ernahr	
Beitrage zur Gerichtlichen Medizin	Beitr. Gerichtl. Med.	Beitr Gerichtl Med	
Beitrage zur Hygiene und Epidemiologie	Beitr. Hyg. Epidemiol.	Beitr Hyg Epidemiol	
Beitrage zur Infusionstherapie	Beitr. Infusionsther.	Beitr Infusionsther	
Beitrage zur Infusionstherapie und Transfusionsmedizin	Beitr. Infusionsther. Transfusionsmed.	Beitr Infusionsther Transfusionsmed	
Beitrage zur Klinik und Erforschung der Tuberkulose und der Lungenkrankheiten	Beitr. Klin. Erforsch. Tuberk. Lungenkr.	Beitr Klin Erforsch Tuberk Lungenkr	
Beitrage zur Klinischen Neurologie und Psychiatrie	Beitr. Klin. Neurol. Psychiatr.	Beitr Klin Neurol Psychiatr	
Beitrage zur Krebsforschung	Beitr. Krebsforsch.	Beitr Krebsforsch	
Beitrage zur Neurochirurgie	Beitr. Neurochir.	Beitr Neurochir	
Beitrage zur Orthopadie und Traumatologie	Beitr. Orthop. Traumatol.	Beitr Orthop Traumatol	
Beitrage zur Pathologie	Beitr. Pathol.	Beitr Pathol	
Beitrage zur Pathologischen Anatomie und zur Allgemeinen Pathologie	Beitr. Pathol. Anat.	Beitr Pathol Anat	
Beitrage zur Rheumatologie	Beitr. Rheumatol.	Beitr Rheumatol	
Beitrage zur Sexualforschung	Beitr. Sexualforsch.	Beitr Sexualforsch	
Beitrage zur Silikose-Forschung	Beitr. Silikoseforsch.	Beitr Silikoseforsch	
Beitrage zur Silikoseforschung. Pneumokoniose	Beitr. Silikoseforsch. Pneumokoniose	Beitr Silikoseforsch Pneumokoniose	
Beitrage zur Tropischen Landwirtschaft und Veterinarmedizin	Beitr. Trop. Landwirtsch. Veterinarmed.	Beitr Trop Landwirtsch Veterinarmed	
Belgisch Tijdschrift Voor Geneeskunde	Belg. Tijdschr. Geneesk.	Belg Tijdschr Geneesk	
Benders Health Care Law Monthly	Benders Health Care Law Mon.	Benders Health Care Law Mon	
Benefits Quarterly	Benefits Q.	Benefits Q	
Bericht Uber Die Zusammenkunft der Deutschen Ophthalmologischen Gesellschaft	Ber. Zusammenkunft Dtsch. Ophthalmol. Ges.	Ber Zusammenkunft Dtsch Ophthalmol Ges	
Berichte Aus der Bonner Universitatsklinik und Poliklinik fur Mund-, Zahn- und Kieferkrankheiten	Ber. Bonn. Univ. Poliklin. Mund. Zahn. Kieferkr.	Ber Bonn Univ Poliklin Mund Zahn Kieferkr	
Berita Jururawat	Berita Jururawat	Berita Jururawat	
Berliner und Munchener Tierarztliche Wochenschrift	Berl. Munch. Tierarztl. Wochenschr.	Berl Munch Tierarztl Wochenschr	
Berufs-Dermatosen	Berufsdermatosen.	Berufsdermatosen	
Best Practices and Benchmarking in Healthcare	Best Pract. Benchmarking Healthc.	Best Pract Benchmarking Healthc	Best Practices & Benchmarking in Healthcare
Bests Review. Life/Health Insurance Edition	Bests Rev. Life. Health Insur. Ed.	Bests Rev Life Health Insur Ed	
Bibliotek for Laeger	Bibl. Laeger	Bibl Laeger	
Bibliotheca Anatomica	Bibl. Anat.	Bibl Anat	
Bibliotheca Cardiologica	Bibl. Cardiol.	Bibl Cardiol	
Bibliotheca Gastroenterologica	Bibl. Gastroenterol.	Bibl Gastroenterol	
Bibliotheca Gynaecologica	Bibl. Gynaecol.	Bibl Gynaecol	
Bibliotheca Haematologica	Bibl. Haematol.	Bibl Haematol	
Bibliotheca Microbiologica	Bibl. Microbiol.	Bibl Microbiol	
Bibliotheca Nutritio et Dieta	Bibl. Nutr. Dieta	Bibl Nutr Dieta	
Bibliotheca Ophthalmologica	Bibl. Ophthalmol.	Bibl Ophthalmol	
Bibliotheca Paediatrica	Bibl. Paediatr.	Bibl Paediatr	
Bibliotheca Psychiatrica	Bibl. Psychiatr.	Bibl Psychiatr	
Bibliotheca Psychiatrica et Neurologica	Bibl. Psychiatr. Neurol.	Bibl Psychiatr Neurol	
Bibliotheca Radiologica	Bibl. Radiol.	Bibl Radiol	
Bibliotheca Tuberculosea	Bibl. Tuberc.	Bibl Tuberc	
Biken Journal	Biken J.	Biken J	
Bildgebung	Bildgebung	Bildgebung	
Bilt Mednar Fed Zob Teh	Bilt Mednar Fed Zob Teh	Bilt Mednar Fed Zob Teh	
